Home Assistant notifications (Log started: 2025-12-20T19:43:03.751958+00:00)
--------------------------------------------------------------------------------
04/01 06:30 | Hyg:0.0 | Cuis:0.0 | Froid:0.2 | Chauff:1.24 | Avg P4:285.3 | Multi:0.67 | Lum:0.04 | T̄i:19.8°C | Ext:7.2°C | DUT S/R/B/C:0.0/0.0/2.3/3.0h
04/01 06:45 | Hyg:0.0 | Cuis:0.0 | Froid:0.21 | Chauff:1.28 | Avg P4:283.1 | Multi:0.68 | Lum:0.04 | T̄i:19.7°C | Ext:7.0°C | DUT S/R/B/C:0.0/0.0/2.4/3.1h
04/01 07:00 | Hyg:0.0 | Cuis:0.0 | Froid:0.21 | Chauff:1.34 | Avg P4:329.2 | Multi:0.7 | Lum:0.04 | T̄i:19.8°C | Ext:7.0°C | DUT S/R/B/C:0.0/0.0/2.5/3.2h
04/01 07:15 | Hyg:0.0 | Cuis:0.0 | Froid:0.21 | Chauff:1.39 | Avg P4:325.0 | Multi:0.7 | Lum:0.04 | T̄i:19.8°C | Ext:7.2°C | DUT S/R/B/C:0.0/0.0/2.6/3.3h
04/01 07:30 | Hyg:0.0 | Cuis:0.0 | Froid:0.23 | Chauff:1.44 | Avg P4:320.5 | Multi:0.71 | Lum:0.04 | T̄i:19.8°C | Ext:7.4°C | DUT S/R/B/C:0.0/0.0/2.7/3.5h
04/01 07:45 | Hyg:0.0 | Cuis:0.0 | Froid:0.24 | Chauff:1.69 | Avg P4:357.5 | Multi:0.72 | Lum:0.04 | T̄i:20.0°C | Ext:7.4°C | DUT S/R/B/C:0.2/0.0/2.9/3.6h
04/01 08:00 | Hyg:0.02 | Cuis:0.0 | Froid:0.26 | Chauff:1.86 | Avg P4:373.3 | Multi:0.74 | Lum:0.05 | T̄i:20.2°C | Ext:7.4°C | DUT S/R/B/C:0.4/0.0/3.1/3.7h
04/01 08:15 | Hyg:0.06 | Cuis:0.04 | Froid:0.26 | Chauff:2.04 | Avg P4:380.9 | Multi:0.74 | Lum:0.06 | T̄i:20.3°C | Ext:7.4°C | DUT S/R/B/C:0.6/0.0/3.2/3.9h
04/01 08:30 | Hyg:0.06 | Cuis:0.04 | Froid:0.26 | Chauff:2.22 | Avg P4:390.4 | Multi:0.76 | Lum:0.07 | T̄i:20.2°C | Ext:7.6°C | DUT S/R/B/C:0.8/0.0/3.4/4.0h
04/01 08:45 | Hyg:0.07 | Cuis:0.04 | Froid:0.27 | Chauff:2.39 | Avg P4:400.1 | Multi:0.81 | Lum:0.07 | T̄i:20.3°C | Ext:7.6°C | DUT S/R/B/C:1.0/0.0/3.6/4.1h
04/01 09:00 | Hyg:0.17 | Cuis:0.04 | Froid:0.27 | Chauff:2.54 | Avg P4:405.1 | Multi:0.88 | Lum:0.09 | T̄i:20.3°C | Ext:7.6°C | DUT S/R/B/C:1.2/0.0/3.8/4.2h
04/01 09:15 | Hyg:0.17 | Cuis:0.35 | Froid:0.28 | Chauff:2.72 | Avg P4:415.8 | Multi:0.93 | Lum:0.09 | T̄i:20.6°C | Ext:7.4°C | DUT S/R/B/C:1.4/0.0/4.0/4.3h
04/01 09:30 | Hyg:0.17 | Cuis:0.47 | Froid:0.28 | Chauff:2.87 | Avg P4:418.5 | Multi:0.98 | Lum:0.1 | T̄i:20.7°C | Ext:7.6°C | DUT S/R/B/C:1.6/0.8/4.2/4.5h
04/01 09:45 | Hyg:0.17 | Cuis:0.68 | Froid:0.3 | Chauff:3.03 | Avg P4:424.8 | Multi:1.04 | Lum:0.11 | T̄i:20.8°C | Ext:7.6°C | DUT S/R/B/C:1.8/0.8/4.4/4.6h
04/01 10:00 | Hyg:0.17 | Cuis:0.81 | Froid:0.32 | Chauff:3.18 | Avg P4:427.4 | Multi:1.12 | Lum:0.13 | T̄i:20.9°C | Ext:7.6°C | DUT S/R/B/C:1.9/0.8/4.6/4.7h
